aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-1.2347560975609757,-1.1676829268292683,-1.2987804878048783,-1.6310975609756095,-1.75,-1.2408536585365855,-1.1646341463414631,-2.265243902439024,-0.9390243902439024,-1.1768292682926829,-1.393292682926829,-1.326219512195122,-0.6890243902439025,-1.4908536585365852,-2.3871951219512195,-1.0609756097560976,-0.9420731707317072,-2.347560975609756,-1.399390243902439,-1.2073170731707317
-1.2249240121580547,-1.1306990881458967,-1.1884498480243162,-1.6382978723404258,-1.8328267477203648,-1.386018237082067,-1.2127659574468086,-2.270516717325228,-0.9574468085106383,-1.2462006079027355,-1.4437689969604863,-1.3465045592705167,-0.768996960486322,-1.5714285714285712,-2.358662613981763,-1.0486322188449848,-0.933130699088146,-2.4468085106382977,-1.4741641337386013,-1.2796352583586623
-1.1362229102167185,-1.0061919504643966,-1.0309597523219811,-1.458204334365325,-1.6160990712074303,-1.1362229102167185,-1.0123839009287925,-2.077399380804953,-0.7770897832817338,-1.0154798761609907,-1.3591331269349842,-1.1021671826625388,-0.6253869969040248,-1.3746130030959751,-2.126934984520124,-0.9071207430340557,-0.7523219814241486,-2.0897832817337467,-1.235294117647059,-1.1640866873065014
-1.1124620060790271,-1.0638297872340423,-1.1519756838905775,-1.5471124620060788,-1.6109422492401215,-1.1671732522796354,-1.1367781155015195,-2.115501519756839,-0.8328267477203648,-1.0607902735562307,-1.3708206686930093,-1.203647416413374,-0.6899696048632219,-1.5075987841945289,-2.0851063829787235,-0.911854103343465,-0.8601823708206687,-2.124620060790273,-1.3069908814589666,-1.221884498480243
-1.0696969696969698,-1.0151515151515151,-1.0363636363636364,-1.4272727272727272,-1.606060606060606,-1.1272727272727272,-1.0212121212121215,-2.051515151515152,-0.8181818181818182,-1.039393939393939,-1.3909090909090909,-1.1424242424242423,-0.6606060606060608,-1.387878787878788,-2.1515151515151514,-0.8575757575757574,-0.7969696969696972,-2.1939393939393934,-1.2363636363636363,-1.1333333333333333
-1.0636363636363635,-1.0030303030303027,-1.0363636363636364,-1.4242424242424243,-1.5636363636363635,-1.1333333333333333,-1.0787878787878786,-2.021212121212121,-0.7515151515151514,-1.0030303030303027,-1.284848484848485,-1.1393939393939394,-0.5484848484848485,-1.3636363636363635,-2.0939393939393938,-0.906060606060606,-0.8181818181818182,-2.0666666666666673,-1.2181818181818185,-1.0969696969696967
-1.1768292682926829,-1.1920731707317072,-1.268292682926829,-1.6554878048780488,-1.8140243902439024,-1.371951219512195,-1.25,-2.222560975609756,-0.9817073170731708,-1.2164634146341464,-1.4481707317073171,-1.3658536585365855,-0.7378048780487805,-1.603658536585366,-2.307926829268293,-1.0579268292682926,-0.929878048780488,-2.4786585365853657,-1.4695121951219512,-1.2926829268292683
-1.1306990881458967,-1.0,-1.0151975683890575,-1.4711246200607901,-1.6626139817629182,-1.1884498480243162,-1.0455927051671732,-2.0395136778115504,-0.762917933130699,-1.03951367781155,-1.2613981762917934,-1.094224924012158,-0.6382978723404256,-1.3343465045592706,-2.1580547112462005,-0.8753799392097265,-0.7781155015197568,-2.100303951367781,-1.1884498480243162,-1.161094224924012
-1.0886850152905199,-0.951070336391437,-1.0611620795107033,-1.385321100917431,-1.587155963302752,-1.1039755351681957,-0.9724770642201838,-1.9969418960244647,-0.7767584097859328,-1.0,-1.3149847094801224,-1.0061162079510704,-0.6116207951070336,-1.3425076452599387,-2.024464831804281,-0.8868501529051988,-0.8012232415902141,-2.0611620795107033,-1.238532110091743,-1.1039755351681957
-1.1484848484848484,-1.1212121212121213,-1.1363636363636365,-1.6393939393939394,-1.7030303030303031,-1.206060606060606,-1.2181818181818185,-2.136363636363636,-0.8393939393939392,-1.1393939393939394,-1.3909090909090909,-1.2696969696969698,-0.696969696969697,-1.524242424242424,-2.278787878787879,-0.9909090909090909,-0.8636363636363635,-2.33939393939394,-1.3757575757575755,-1.2363636363636363
-1.0731707317073171,-0.948170731707317,-1.0304878048780488,-1.4481707317073171,-1.5670731707317072,-1.1402439024390243,-1.045731707317073,-2.0030487804878048,-0.8536585365853658,-1.0,-1.2591463414634143,-1.1006097560975607,-0.6158536585365852,-1.3140243902439024,-2.0792682926829262,-0.8871951219512195,-0.7804878048780488,-2.0213414634146343,-1.2042682926829267,-1.1128048780487807
-1.1636363636363636,-1.1363636363636365,-1.215151515151515,-1.6545454545454543,-1.8212121212121213,-1.3090909090909093,-1.2636363636363637,-2.190909090909091,-0.9666666666666665,-1.2030303030303031,-1.4545454545454544,-1.306060606060606,-0.7787878787878787,-1.587878787878788,-2.3303030303030305,-0.9878787878787878,-0.8939393939393939,-2.403030303030303,-1.4090909090909092,-1.2636363636363637
-1.2260061919504641,-1.071207430340557,-1.1981424148606812,-1.594427244582043,-1.8482972136222913,-1.294117647058824,-1.1455108359133126,-2.191950464396285,-0.8823529411764705,-1.1702786377708976,-1.4024767801857585,-1.238390092879257,-0.761609907120743,-1.5510835913312693,-2.281733746130031,-1.0402476780185759,-0.9287925696594426,-2.3777089783281724,-1.3900928792569662,-1.241486068111455
-1.138801261829653,-1.0126182965299684,-1.0851735015772865,-1.5078864353312302,-1.6593059936908516,-1.1293375394321767,-1.1261829652996846,-2.1261829652996846,-0.8264984227129338,-1.0315457413249214,-1.3753943217665616,-1.1577287066246056,-0.5772870662460567,-1.413249211356467,-2.1798107255520507,-0.9621451104100947,-0.8233438485804416,-2.1545741324921135,-1.2839116719242905,-1.1514195583596212
-1.234567901234568,-1.1635802469135805,-1.2685185185185186,-1.6913580246913582,-1.867283950617284,-1.3580246913580247,-1.212962962962963,-2.3117283950617282,-0.9876543209876544,-1.1975308641975309,-1.4475308641975309,-1.3117283950617282,-0.8858024691358026,-1.5524691358024691,-2.348765432098765,-1.0648148148148149,-0.9475308641975309,-2.320987654320988,-1.416666666666667,-1.2839506172839503
-1.1716867469879515,-1.1656626506024095,-1.25,-1.6716867469879515,-1.816265060240964,-1.3042168674698797,-1.2740963855421688,-2.1897590361445785,-0.9969879518072285,-1.1626506024096384,-1.3975903614457832,-1.3072289156626506,-0.7469879518072288,-1.496987951807229,-2.2319277108433737,-1.0512048192771084,-0.7951807228915662,-2.4518072289156625,-1.427710843373494,-1.2620481927710843
