aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-1.477508650519031,-1.27681660899654,-1.4463667820069201,-1.7231833910034597,-1.8477508650519037,-1.467128027681661,-1.3183391003460208,-2.411764705882353,-1.0761245674740485,-1.2110726643598615,-1.519031141868512,-1.4567474048442905,-0.8408304498269896,-1.5813148788927334,-2.8200692041522486,-1.2629757785467128,-1.1730103806228371,-2.3771626297577853,-1.3806228373702425,-1.3529411764705883
-0.8554216867469878,-1.0,-1.349397590361446,-1.867469879518072,-0.8795180722891565,-1.2048192771084336,-1.4698795180722892,-1.6385542168674698,-0.6506024096385542,-1.0843373493975903,-1.4698795180722892,-1.5301204819277108,-0.7710843373493976,-1.144578313253012,-3.0,-1.036144578313253,-0.891566265060241,-1.0,-0.7469879518072288,-1.3132530120481927
-1.4390243902439024,-1.024390243902439,-1.664634146341463,-1.847560975609756,-1.9756097560975612,-1.5,-1.2987804878048783,-2.3841463414634148,-1.201219512195122,-1.2804878048780488,-1.5121951219512193,-1.4939024390243902,-0.6890243902439025,-1.4329268292682926,-2.7256097560975614,-1.353658536585366,-1.1646341463414631,-2.2195121951219514,-1.4390243902439024,-1.371951219512195
-1.403448275862069,-1.179310344827586,-1.306896551724138,-1.5965517241379308,-1.789655172413793,-1.3793103448275863,-1.2275862068965515,-2.251724137931034,-0.8310344827586208,-1.1448275862068966,-1.427586206896552,-1.3586206896551727,-0.7172413793103448,-1.3517241379310343,-2.6655172413793102,-1.2310344827586206,-1.0551724137931036,-2.2379310344827585,-1.2275862068965515,-1.289655172413793
-1.3015384615384615,-1.0646153846153843,-1.2707692307692309,-1.5015384615384615,-1.735384615384615,-1.1815384615384616,-1.083076923076923,-2.1353846153846154,-0.9169230769230768,-1.1692307692307693,-1.4215384615384616,-1.1846153846153846,-0.8369230769230769,-1.5723076923076926,-2.3538461538461535,-1.0461538461538462,-0.9415384615384614,-2.350769230769231,-1.4338461538461538,-1.2769230769230768
-1.153333333333333,-1.1266666666666667,-1.393333333333333,-1.8466666666666665,-1.84,-1.5,-1.5866666666666664,-2.1266666666666665,-1.3733333333333333,-1.393333333333333,-1.48,-1.646666666666667,-0.7733333333333332,-1.4666666666666661,-2.766666666666666,-0.9333333333333332,-0.82,-2.0266666666666673,-1.3266666666666664,-1.36
-1.231292517006803,-1.1224489795918366,-1.489795918367347,-1.9455782312925167,-1.768707482993197,-1.530612244897959,-1.5034013605442176,-2.1904761904761902,-1.469387755102041,-1.4217687074829932,-1.5034013605442176,-1.585034013605442,-0.8367346938775511,-1.5102040816326527,-2.9523809523809526,-0.9795918367346939,-0.945578231292517,-2.217687074829932,-1.3877551020408163,-1.3401360544217689
-1.25,-0.8061224489795918,-1.3928571428571428,-1.5255102040816328,-1.8571428571428568,-1.239795918367347,-1.0714285714285714,-2.3316326530612246,-1.2755102040816328,-1.1020408163265305,-1.4132653061224487,-1.0918367346938775,-0.6836734693877551,-1.4132653061224487,-2.204081632653061,-1.1020408163265305,-0.8724489795918366,-2.387755102040816,-1.4540816326530612,-1.1683673469387752
-1.5234042553191487,-1.4127659574468083,-1.5106382978723405,-1.7702127659574467,-2.2297872340425533,-1.5404255319148934,-1.5106382978723405,-2.472340425531915,-1.2170212765957449,-1.3446808510638295,-1.5063829787234042,-1.6638297872340426,-0.7957446808510638,-1.54468085106383,-2.736170212765957,-1.3617021276595742,-1.148936170212766,-2.5659574468085102,-1.3744680851063833,-1.4042553191489362
-1.1055900621118013,-0.7639751552795031,-1.1925465838509315,-1.5217391304347827,-1.6273291925465836,-1.2608695652173911,-1.3416149068322982,-1.8198757763975155,-1.0124223602484472,-1.1863354037267082,-1.2857142857142858,-1.2422360248447204,-0.40993788819875776,-1.291925465838509,-2.4347826086956523,-0.7763975155279502,-0.6521739130434783,-1.7018633540372672,-1.15527950310559,-1.204968944099379
-1.336322869955157,-0.8385650224215246,-1.2331838565022417,-1.5874439461883407,-1.9192825112107623,-1.2825112107623315,-1.345291479820628,-2.2286995515695067,-0.8565022421524664,-1.1165919282511207,-1.42152466367713,-1.358744394618834,-0.5426008968609866,-1.358744394618834,-2.4529147982062787,-1.0762331838565022,-0.8295964125560538,-2.1390134529147984,-1.1838565022421523,-1.1973094170403586
-1.2985781990521328,-0.838862559241706,-1.3175355450236967,-1.3554502369668249,-1.95260663507109,-1.2606635071090047,-1.194312796208531,-2.18957345971564,-0.8909952606635072,-1.0663507109004737,-1.3507109004739335,-1.2890995260663507,-0.5497630331753555,-1.3127962085308058,-2.1800947867298577,-1.0853080568720381,-0.872037914691943,-2.061611374407583,-1.1706161137440758,-1.132701421800948
-1.2209944751381219,-0.8618784530386739,-1.602209944751381,-1.6629834254143645,-2.0773480662983426,-1.4088397790055247,-1.259668508287293,-2.265193370165746,-1.2486187845303864,-1.2430939226519335,-1.4198895027624308,-1.4198895027624308,-0.6906077348066298,-1.5082872928176796,-2.342541436464088,-1.138121546961326,-0.9668508287292816,-2.1933701657458564,-1.4806629834254144,-1.3535911602209945
-1.3288135593220336,-1.1627118644067793,-1.230508474576271,-1.4915254237288136,-2.071186440677966,-1.3084745762711865,-1.0847457627118644,-2.2,-0.9898305084745767,-1.1491525423728814,-1.4813559322033893,-1.4169491525423727,-0.9728813559322032,-1.6067796610169491,-2.589830508474576,-1.0779661016949151,-0.9966101694915254,-2.637288135593221,-1.4338983050847458,-1.2610169491525425
-1.1807909604519777,-1.0112994350282485,-1.5706214689265536,-1.8079096045197744,-1.9830508474576272,-1.3898305084745763,-1.4124293785310735,-2.2711864406779663,-1.288135593220339,-1.2824858757062145,-1.4293785310734464,-1.4406779661016949,-0.7118644067796609,-1.4406779661016949,-2.4971751412429373,-1.11864406779661,-1.03954802259887,-2.1525423728813564,-1.4293785310734464,-1.4293785310734464
-1.197916666666667,-0.8645833333333331,-1.432291666666667,-1.59375,-2.0833333333333326,-1.322916666666667,-1.15625,-2.265625,-1.223958333333333,-1.25,-1.421875,-1.234375,-0.75,-1.484375,-2.328125,-1.1354166666666667,-0.9479166666666664,-2.2708333333333326,-1.427083333333333,-1.369791666666667
-1.1596638655462184,-0.9915966386554622,-1.0672268907563025,-1.495798319327731,-1.5378151260504203,-0.8571428571428571,-0.8991596638655462,-1.9831932773109244,-1.0,-1.3529411764705883,-1.0336134453781511,-0.8991596638655462,-1.0672268907563025,-1.9747899159663869,-2.1008403361344534,-0.6218487394957983,-0.8487394957983194,-2.3025210084033607,-1.504201680672269,-1.1764705882352942
-1.269592476489028,-1.115987460815047,-1.2288401253918495,-1.5768025078369905,-1.702194357366771,-1.3072100313479624,-1.172413793103448,-2.153605015673981,-0.956112852664577,-1.1974921630094044,-1.438871473354232,-1.3510971786833856,-0.8244514106583072,-1.4796238244514104,-2.373040752351097,-1.0344827586206895,-0.9216300940438874,-2.244514106583072,-1.3605015673981191,-1.2225705329153602
-1.280952380952381,-0.8476190476190477,-1.2142857142857142,-1.4523809523809523,-1.719047619047619,-1.1619047619047622,-0.8380952380952381,-2.238095238095238,-0.9142857142857141,-0.9809523809523808,-1.5380952380952382,-0.9333333333333332,-1.0238095238095235,-1.5238095238095235,-2.3142857142857145,-1.076190476190476,-0.8809523809523809,-2.3095238095238093,-1.4047619047619047,-1.142857142857143
-1.0363636363636364,-0.5709090909090909,-0.8472727272727273,-0.9636363636363636,-1.1854545454545455,-0.7418181818181818,-0.6254545454545455,-1.72,-0.2763636363636364,-0.8618181818181818,-1.32,-0.7927272727272727,-0.4109090909090909,-1.0836363636363635,-1.9090909090909087,-0.76,-0.7018181818181818,-1.1527272727272728,-0.7345454545454546,-1.069090909090909
